"effect","term","estimate","std.error","statistic","df","p.value","Response","Predictor","p_adj_BH","sig"
"fixed","nutrint",-0.360676588862575,0.0830550301716976,-4.34262185104211,5.25774295093587,0.00660352570583093,"logBiomass","nutrint",0.0297158656762392,"*"
"fixed","crypto5LR",0.301273211266028,0.0833428233376507,3.61486687396545,55.6758900273267,0.000647203441903273,"logBiomass","crypto5LR",0.00582483097712946,"**"
"fixed","pare5BRin",-0.242919211989487,0.10421121181909,-2.33102760968937,6.23480375396125,0.0569613870861351,"logBiomass","pare5BRin",0.170884161258405,""
"fixed","Rnetflow",0.156840350899202,0.12769488113673,1.22824305487441,7.6932418003517,0.255602617243009,"logBiomass","Rnetflow",0.287552944398385,""
"fixed","Cnetflow",0.105648251925285,0.120550605259715,0.876380933116647,12.1221613985533,0.397857497969685,"logBiomass","Cnetflow",0.397857497969685,""
"fixed","transi15BRIF",-0.241140894822927,0.150423905970755,-1.60307561000183,4.85997006736241,0.171495429585239,"logBiomass","transi15BRIF",0.287552944398385,""
"fixed","sst_sd_6_year_mean",0.207411863331012,0.13738325494372,1.50973176036613,3.18186609239253,0.223185110833963,"logBiomass","sst_sd_6_year_mean",0.287552944398385,""
"fixed","sst_q90_6_year_mean",-0.198808928262211,0.136186844674202,-1.45982476308794,3.03303419349694,0.239502474298129,"logBiomass","sst_q90_6_year_mean",0.287552944398385,""
"fixed","sst_mean_6_year_mean",-0.203586915700135,0.135797685194404,-1.49919282798294,3.04196677428874,0.229561332363733,"logBiomass","sst_mean_6_year_mean",0.287552944398385,""
"fixed","nutrint",-0.136804385259193,0.0860622734519297,-1.58959762241937,6.72713130910931,0.157680146759211,"logabun","nutrint",0.473040440277632,""
"fixed","crypto5LR",0.154320553900668,0.0752613686640238,2.05046169954169,63.2794958209056,0.0444667342210426,"logabun","crypto5LR",0.400200607989383,""
"fixed","pare5BRin",-0.0193752369118134,0.0950211174686833,-0.203904536464739,6.39156964781297,0.844766696454115,"logabun","pare5BRin",0.844766696454115,""
"fixed","Rnetflow",0.0983014965825302,0.0976515729788393,1.00665553645338,5.42825143561114,0.356843722255159,"logabun","Rnetflow",0.802898375074107,""
"fixed","Cnetflow",0.163340131547814,0.096428515974908,1.69389863461466,7.89585801884937,0.129233773394947,"logabun","Cnetflow",0.473040440277632,""
"fixed","transi15BRIF",-0.0351555184974073,0.100276307399638,-0.350586488564038,3.93511216804698,0.743859438315047,"logabun","transi15BRIF",0.844766696454115,""
"fixed","sst_sd_6_year_mean",-0.029427339508688,0.107932721839837,-0.272645209043793,3.17036367193782,0.801928462260437,"logabun","sst_sd_6_year_mean",0.844766696454115,""
"fixed","sst_q90_6_year_mean",0.0488453056851048,0.107042168547333,0.45631834956245,3.16180623576911,0.677694067621528,"logabun","sst_q90_6_year_mean",0.844766696454115,""
"fixed","sst_mean_6_year_mean",0.0442242417191413,0.107285674035548,0.412210130725266,3.1483247238091,0.706656383632698,"logabun","sst_mean_6_year_mean",0.844766696454115,""
"fixed","nutrint",-0.00680868331874162,0.00892961632587904,-0.762483299423434,6.62217896399122,0.472050603897314,"fric","nutrint",0.845083426776868,""
"fixed","crypto5LR",0.00995046267416746,0.00796217419932155,1.2497167764824,58.738634073531,0.216359645985943,"fric","crypto5LR",0.845083426776868,""
"fixed","pare5BRin",-0.0163351929519313,0.0102774600075153,-1.589419267016,6.34440192406212,0.160387811905237,"fric","pare5BRin",0.845083426776868,""
"fixed","Rnetflow",0.00588771268456036,0.00961310201303574,0.612467513251851,5.81650118133846,0.563388951184579,"fric","Rnetflow",0.845083426776868,""
"fixed","Cnetflow",0.00956489764942,0.0093137777764961,1.02696219288779,8.14026904178784,0.333984506723092,"fric","Cnetflow",0.845083426776868,""
"fixed","transi15BRIF",-0.00655052955814874,0.00997022583530921,-0.657009145665514,4.08355565586639,0.54636317164831,"fric","transi15BRIF",0.845083426776868,""
"fixed","sst_sd_6_year_mean",-0.00157974439577844,0.0109672374360366,-0.144042144158169,3.20840951336461,0.894044454257284,"fric","sst_sd_6_year_mean",0.894044454257284,""
"fixed","sst_q90_6_year_mean",0.00188534523205473,0.0108804543283351,0.173278171587457,3.20739187505245,0.872797779367837,"fric","sst_q90_6_year_mean",0.894044454257284,""
"fixed","sst_mean_6_year_mean",0.00179310019662847,0.0109114406777132,0.164332121631831,3.18910886002383,0.879338767403597,"fric","sst_mean_6_year_mean",0.894044454257284,""
